original,translate
"Fellbells emit a soft, mesmerizing chime that seems to attract mushroom-pickers and animals alike","Fellbells emit a soft, mesmerising chime that seems to attract mushroom-pickers and animals alike"
Unfortunately it is also highly poisonous,"Unfortunately, it is also highly poisonous"
#Trinkets,#Trinkets
Amethyst,Amethyst
"A common variety of quartz often believed to offer enlightenment, this gemstone is often found in the mountains of Gorremia","A common variety of quartz often believed to offer enlightenment, this gemstone is often found in the mountains of Gorremia"
Archon's Eye,Archon's Eye
A common gemstone across the Empire,A common gemstone across the Empire
Crones will tell you it protects the user from bad luck,Crones will tell you it protects the user from bad luck
Diamond,Diamond
The “Empress” of gemstones,"The ""Empress"" of gemstones"
Emerald,Emerald
A highly coveted semi-precious stone often worn by members of the lay-nobility,A highly coveted semi-precious stone often worn by members of the lay-nobility
Moonstone,Moonstone
"This adularescent gem is believed by some to have fallen from the moon itself, but its low cost suggests otherwise","This adularescent gem is believed by some to have fallen from the moon itself, but its low cost suggests otherwise"
Opal,Opal
This semi-precious stone is found in far Arassha and is often inset in items of power,This semi-precious stone is found in far Arassha and is often inset in items of power
Painite,Painite
"A rare mineral often misidentified as a ruby, this gemstone is often called “The Jewler’s Best Friend","A rare mineral often misidentified as a ruby, this gemstone is often called ""The Jeweller’s Best Friend."
Pearl,Pearl
"A spherical stone, typically white or bluish-gray, the pearl is a favorite of rich sea-merchants","A spherical stone, typically white or bluish-grey, the pearl is a favourite of rich sea merchants"
Red Beryl,Red Beryl
An extremely rare and coveted gemstone that can sometimes be found inset in the regalia of the Empire’s most powerful,An extremely rare and coveted gemstone that can sometimes be found inset in the regalia of the Empire’s most powerful
Ruby,Ruby
"A coveted, durable gemstone often worn by Magi of high rank","A coveted, durable gemstone often worn by Magi of high rank"
Topaz,Topaz
Topaz is commonly traded by Ombarian merchants,Topaz is commonly traded by Ombarian merchants
"Usually light blue in color, the gem can be traded at a low cost","Usually light blue in colour, the gem can be traded at a low cost"
Bone Comb,Bone Comb
"Finely carved from whale-bone, these combs provide a small modicum of luxury to the women and long-haired men of the Outer Isles","Finely carved from whalebone, these combs provide a small modicum of luxury to the women and long-haired men of the Outer Isles"
Buttons,Buttons
A small collection of mismatched buttons,A small collection of mismatched buttons. Mothers keep a stash of these just in case
Conch Shell,Conch Shell
You can hear the sea in them,You can hear and see into the-- Here! You can sea into the-- You can hear the sea in them
Cracked Wine Jug,Cracked Wine Jug
A clay vessel commonly used to hold wine,A clay vessel commonly used to hold wine
It does its job poorly,It does its job poorly
Drinking Horn,Drinking Horn
A vessel used by locals from which wine or ale is drunk,A vessel used by locals from which wine or ale is drunk
Embalming Tool,Embalming Tool
A tool used by followers of the Imperial faith to prepare the dead for burial,A tool used by followers of the Imperial faith to prepare the dead for burial
Fishing Hook,Fishing Hook
A small metal hook used by locals to catch a variety of fish,A small metal hook used by locals to catch a variety of fish
Flute,Flute
A small bone or wood instrument,A small bone or wood instrument
Fork,Fork
A two pronged fork,A two pronged fork
"Though a good knife and fingers will suffice for most of the Empire's citizens, it simply will not do for a small select elite","Though a good knife and fingers will suffice for most of the Empire's citizens, it simply will not do for a small, select elite"
Glass Bead,Glass Bead
A spherical piece of glass sometimes used by islanders/locals to create jewelry or fool children,A spherical piece of glass sometimes used by islanders and locals to create jewellery or fool children
Goblet,Goblet
"A beaten up and ugly, albeit well crafted, tin goblet","A beaten up and ugly, albeit well crafted, tin goblet"
Ink Pot,Ink Pot
A glass vessel half full of rich Ombarian ink,A glass vessel half full of rich Ombarian ink
Mug,Mug
A roughly made mug,A roughly made mug
Likely used for the Empire's drink of choice,Likely used for a citizen of the Empire's drink of choice
Ale,ale
Old Shears,Old Shears
A cutting tool commonly used by local farmers to shear their meager flocks,A cutting tool commonly used by local farmers to shear their meagre flocks
Ornate Gamepiece,Ornate Game Piece
A piece from a set of pieces belonging to the game “Lancers,"A piece from a set of pieces belonging to the game ""Lancers"
Ornate Hand Mirror,Ornate Hand Mirror
"Commonly used by members of nobility to check their appearance, these handheld items are believed by some to be ‘mirrors to the soul’","Commonly used by members of nobility to check their appearance, these handheld items are believed by some to be ""reflections of the soul"""
Parchment,Parchment
A stack of writing paper,A stack of writing paper
Pitcher,Flagon
A pitcher used for serving drinks,A large flagon used for serving drinks
Plate,Plate
A tin plate used for serving meals,A tin plate used for serving meals on
Ream of Fine Cloth,Ream of Fine Cloth
Finely spun cloth is difficult to produce and highly coveted among the tailors of the Heartlands,Finely spun cloth is difficult to produce and highly coveted among the tailors of the Heartlands
Ream of Routhspun Cloth,Ream of Routhspun Cloth
"Not as expensive as it's finer counterpart, but still a local commodity","Not as expensive as its finer counterpart, but still a local commodity."
Rusty Bread Knife,Rusty Bread Knife
A common household item often found in dining areas,A common household item often found in dining areas
Rusty Stick Pin,Rusty Stick Pin
A brass pin sometimes used by commonfolk to hold various garments in place,A brass pin sometimes used by commonfolk to hold various garments in place
Scrimshaw,Scrimshaw
A small carving made from walrus teeth,A small carving made from walrus tusks
Silk Ribbon,Silk Ribbon
Commonly used for braiding hair,Commonly used for braiding hair.
Stained Glass Bottle,Stained Glass Bottle
An empty glass bottle that has taken on a green tint,An empty glass bottle that has taken on a green tint
Decorative Shell,Decorative Shell
"The exoskeleton of various sea creatures, these shells are sometimes used by locals to create jewelry","The exoskeleton of various sea creatures, these shells are sometimes used by locals to create jewellery"
Wooden Doll,Wooden Doll
"A toy made from smooth yew, these doll’s are popular gifts given to local children","A toy made from smooth yew, these dolls are popular gifts given to local children"
Weaving Comb,Weaving Comb
A tool commonly used in the weaving of tapestries,A tool commonly used in the weaving of tapestries
This one appears to be made from the wood of the Yew Trees often found in the Outer Isles,"Though boxwood is more popular on the mainland, this one appears to be made from the wood of the Yew Trees often found in the Outer Isles"
